"","imdb_title_id","title","original_title","year","date_published","genre","duration","country","language","director","writer","production_company","actors","description","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"52701","tt1029285","The Errand of Angels","The Errand of Angels","2008","2008-01-01","Drama",91,"USA","English, German","Christian Vuissa","Heidi Johnson, Christian Vuissa","Mirror Films","Erin Chambers, Rachel Emmers, Bettina Schwarz, Katrin Mayer, Eunicia Jones, Dina Kabele, Gregor Staudner, Susanna Bihari, Ashley Munns, Danielle Ilian, Lisa Weber, Fanny Matschnig, Monika Köteles, Inge Maux, Maria Lassl","A wide-eyed sister missionary arrives in Austria to begin her 18-month-long mission for the Church of Jesus Christ of Latter-day Saints. Despite having to make a few cultural adjustments, ...","6,1",245,"$ 160000","","",NA,11,2
"52800","tt1034303","Defiance - I giorni del coraggio","Defiance","2008","2009-01-23","Action",137,"USA","English, German, Russian","Edward Zwick","Clayton Frohman, Edward Zwick","Paramount Vantage","Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, Iben Hjejle, Martin Hancock, Ravil Isyanov, Jacek Koman, George MacKay","Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.","7,2",136013,"$ 32000000","$ 28644813","$ 51262751",58,266,125
"52813","tt1034415","Suspiria","Suspiria","2018","2019-01-01","Fantasy",152,"Italy, USA","English, German, French, Russian","Luca Guadagnino","Dario Argento, Daria Nicolodi","Frenesy Film Company","Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela, Dakota Johnson, Angela Winkler, Vanda Capriolo, Alek Wek, Jessica Batut, Elena Fokina, Mia Goth, Clémentine Houdart, Ingrid Caven, Sylvie Testud, Fabrizia Sacchi","A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.","6,8",57122,"$ 20000000","$ 2483472","$ 7942093",64,594,344
"52894","tt1039614","Justice/Vengeance","Justice/Vengeance","2009","2011-03-28","Drama",130,"UK","English, German","Joshua Newton","Joshua Newton","Calibra Pictures","Roy Scheider, Scott Cohen, Alexander Newton, Calita Rainford, Helmut Berger, Sarah Bolger, Anna Polony, Kimberly Jaraj, Sebastian Stegmann, JB Blanc, Mark Bramhall, Veronica Milagros, Candace Quirk, Marek Solek","Joseph, a retired New York police officer, played by the late Roy Scheider, travels to Nuremberg to visit his son Ronnie years after turning his back on him for rejecting a promising career...","5,4",115,"$ 30000000","","",NA,5,6
"53040","tt1046997","Miracolo a Sant'Anna","Miracle at St. Anna","2008","2008-10-03","Action",160,"Italy, USA","English, German, Italian","Spike Lee","James McBride, James McBride","40 Acres & A Mule Filmworks","Derek Luke, Michael Ealy, Laz Alonso, Omar Benson Miller, Pierfrancesco Favino, Valentina Cervi, Matteo Sciabordi, John Turturro, Joseph Gordon-Levitt, John Leguizamo, Kerry Washington, D.B. Sweeney, Robert John Burke, Omari Hardwick, Omero Antonutti","Set in 1944 Italy, the story of four black American soldiers who get trapped in a Tuscan village during WWII.","6,1",17810,"$ 45000000","$ 7919117","$ 9333654",37,193,149
"53203","tt1056411","Able Danger","Able Danger","2008","2008-09-11","Crime",86,"USA","English, German","Dave Herman","Paul Krik","Able Danger","Elina Löwensohn, Adam Nee, Michael J. Burg, Tamara Knausz, Gregory Paul Martin, Frank Deal, Piper Kenny, Brandon Bales, Holley Anderson, Gene Ardor, Sally Bowman, James Cashin, David Coburn, Christian Contreras, Tom Cryan","Tom Flynn, the idealist owner of a left-leaning radical café/bookstore and the quixotic publisher of a hard hitting 911 conspiracy expose, finds himself entangled with a mysterious Eastern ...","5,2",114,"$ 1500000","","",NA,2,17
"53307","tt1064215","Strangers","Strangers","2007","2008-05-29","Drama",80,"Israel, France","English, French, Hebrew, Arabic, German","Guy Nattiv, Erez Tadmor","Guy Nattiv, Erez Tadmor","United Channel Movies","Liron Levo, Lubna Azabal, Abdallah El Akal, Birol Ünel, Patrick Albenque, Dominique Lollia, Clémence Thioly, Mila Dekker, Stephane Pouillot","Six days in the lives of an Israeli living in a kibbutz and a Palestinian living in Paris, which starts with an accidental meeting in the Berlin Subway during the World cup finals, will change them completely.","6,6",455,"$ 200000","","",NA,1,13
"53586","tt1079980","Death in Love","Death in Love","2008","2009-07-17","Drama",97,"USA","English, German, French","Boaz Yakin","Boaz Yakin","DI Love","Josh Lucas, Jacqueline Bisset, Lukas Haas, Morena Baccarin, Betty Gilpin, Emma Bell, Vanessa Kai, Carrington Vilmont, Jean Brassard, Adam Brody, Stu Richel, Matt Walton, Jake Houston, Nicholas Sireci, Kelli Giddish","The devastating legacy of a liaison between a concentration camp inmate and a Nazi doctor reflects on the lives of her sons.","4,8",998,"$ 3000000","$ 23412","$ 23412",39,11,14
"53645","tt1083452","Eddie the Eagle - Il coraggio della follia","Eddie the Eagle","2015","2016-06-02","Biography",106,"UK, Germany, USA","English, German, Norwegian","Dexter Fletcher","Sean Macaulay, Simon Kelton","Hurwitz Creative","Tom Costello, Jo Hartley, Keith Allen, Dickon Tolson, Jack Costello, Taron Egerton, Mark Benton, Tim McInnerny, Edvin Endre, Mads Sjøgård Pettersen, Marc Benjamin, Iris Berben, Rune Temte, Hugh Jackman, Carlton Bunce","The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.","7,4",82857,"$ 23000000","$ 15789389","$ 46152800",54,192,262
"53841","tt1092634","Shanghai","Shanghai","2010","2010-06-17","Crime",105,"China, USA","English, Mandarin, Japanese, German","Mikael Håfström","Hossein Amini","Living Films","John Cusack, Li Gong, Yun-Fat Chow, David Morse, Ken Watanabe, Franka Potente, Jeffrey Dean Morgan, Hugh Bonneville, Yuan On, Hon Ping Tang, Benedict Wong, Christopher Buchholz, Ronan Vibert, Nicholas Rowe, Michael Culkin","A '40s period piece which revolves around an American expat who returns to Shanghai in the months before Pearl Harbor due to the death of his friend.","6,4",9086,"$ 50000000","$ 46425","$ 15302850",36,37,61
"54260","tt1124052","Nanjing! Nanjing!","Nanjing! Nanjing!","2009","2009-04-22","Drama",132,"China, Hong Kong","Mandarin, English, Japanese, German","Chuan Lu","Chuan Lu","China Film Group Corporation (CFGC)","Ye Liu, Yuanyuan Gao, Wei Fan, Lan Qin, Hideo Nakaizumi, Ryu Kohata, Yiyan Jiang, Di Yao, Yisui Zhao, Bin Liu, Yûko Miyamoto, John Paisley, Beverly Peckous, Sam Voutas, Aisling Dunne","In 1937, Japan occupied Nanjing, the Chinese capital. There was a battle and subsequent atrocities against the inhabitants, especially those who took refuge in the International Security Zone.","7,7",10214,"$ 12000000","$ 122558","$ 10687316",85,70,149
"54267","tt1124377","John Rabe","John Rabe","2009","2011-06-02","Biography",134,"France, China, Germany","Cantonese, Mandarin, German, Japanese, English, Ukrainian","Florian Gallenberger","Florian Gallenberger, John Rabe","H&V Entertainment","Ulrich Tukur, Daniel Brühl, Steve Buscemi, Anne Consigny, Dagmar Manzel, Jingchu Zhang, Teruyuki Kagawa, Mathias Herrmann, Tetta Sugimoto, Akira Emoto, Arata Iura, Shaun Lawton, Christian Rodska, Gottfried John, Fang Yu","A true-story account of a German businessman who saved more than 200,000 Chinese during the Nanjing massacre in 1937-38.","7,2",6002,"$ 20000000","$ 67519","$ 1484665",57,24,53
"54339","tt1130080","The Informant!","The Informant!","2009","2009-09-18","Biography",108,"USA","English, German","Steven Soderbergh","Scott Z. Burns, Kurt Eichenwald","Warner Bros.","Matt Damon, Lucas McHugh Carroll, Eddie Jemison, Rusty Schwimmer, Craig Ricci Shaynak, Tom Papa, Rick Overton, Melanie Lynskey, Thomas F. Wilson, Scott Bakula, Scott Adsit, Ann Dowd, Allan Havey, Howie Johnson, Joel McHale","The U.S. government decides to go after an agro-business giant with a price-fixing accusation, based on the evidence submitted by their star witness, vice president-turned-informant Mark Whitacre.","6,4",62333,"$ 22000000","$ 33316821","$ 41771168",66,202,257
"54349","tt1130884","Shutter Island","Shutter Island","2010","2010-03-05","Mystery",138,"USA","English, German","Martin Scorsese","Laeta Kalogridis, Dennis Lehane","Paramount Pictures","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch, Elias Koteas, Robin Bartlett, Christopher Denham, Nellie Sciutto, Joseph Sikora","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","8,2",1096024,"$ 80000000","$ 128012934","$ 294804195",63,1286,523
"54448","tt1135487","Duplicity","Duplicity","2009","2009-04-10","Comedy",125,"USA, Germany","English, Spanish, Russian, German","Tony Gilroy","Tony Gilroy","Universal Pictures","Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti, Dan Daily, Lisa Roberts Gillan, David Shumbris, Rick Worthy, Oleg Stefan, Denis O'Hare, Kathleen Chalfant, Khan Baykal, Tom McCarthy, Wayne Duvall, Fabrizio Brienza","Two ex-government agents turned rival industrial spies have to be at the top of their game when one of their companies prepares to launch a major product. However, they distract each other in more ways than one.","6,1",46925,"$ 60000000","$ 40572825","$ 78176181",69,194,221
"54509","tt1139085","1612: Khroniki smutnogo vremeni","1612: Khroniki smutnogo vremeni","2007","2007-11-01","Adventure",144,"Russia","Russian, Polish, Spanish, Italian, German, Latin","Vladimir Khotinenko","Arif Aliev","Central Partnership","Pyotr Kislov, Michal Zebrowski, Artur Smolyaninov, Violetta Davydovskaya, Aleksandr Baluev, Marat Basharov, Ramón Langa, Sergey Safronov, Mikhail Porechenkov, Aleksandr Samoylenko, Valeriy Zolotukhin, Filipp Korshunov, Dmitriy Mukhamadeev, Daniil Spivakovskiy, Dmitriy Ulyanov","The czar of Russia has died and a power vacuum has developed. This period in the late 16th and early 17th century has been called ""The Time of Troubles."" There are many impostors who claim ...","5,6",2098,"$ 12000000","","$ 6555121",NA,22,3
"54645","tt1149362","Il nastro bianco","Das weiße Band - Eine deutsche Kindergeschichte","2009","2009-10-30","Drama",144,"Germany, Austria, France, Italy, Canada","Latin, German, Italian, Polish","Michael Haneke","Michael Haneke, Michael Haneke","X-Filme Creative Pool","Christian Friedel, Ernst Jacobi, Leonie Benesch, Ulrich Tukur, Ursina Lardi, Fion Mutert, Michael Kranz, Burghart Klaußner, Steffi Kühnert, Maria Dragus, Leonard Proxauf, Levin Henning, Johanna Busse, Thibault Sérié, Josef Bierbichler","Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?","7,8",67362,"$ 18000000","$ 2222862","$ 19319671",82,213,284
"54689","tt1152401","Hired Gun","Hired Gun","2009","2009-03-26","Action",107,"USA","English, Arabic, German","Brad Jurjens","Brad Jurjens","Tavix Pictures","Shane Daniel Wood, Michael Madsen, Ilia Volok, Johann Urb, Esther Canata, Oscar Dillon, Fahim Fazli, Said Faraj, Mika Walter, Rene Escapite, June Carryl, Brad Jurjens, Dannon Green, Nick Faltas, Eddie Lee","A hit man turns against his former boss after witnessing a nuclear weapon being smuggled into the US.","3,6",190,"$ 2300000","","",NA,3,NA
"54747","tt1156173","Vincere","Vincere","2009","2009-05-20","Biography",128,"Italy, France","Italian, German","Marco Bellocchio","Marco Bellocchio, Marco Bellocchio","Offside","Giovanna Mezzogiorno, Filippo Timi, Fausto Russo Alesi, Michela Cescon, Pier Giorgio Bellocchio, Corrado Invernizzi, Paolo Pierobon, Bruno Cariello, Francesca Picozza, Simona Nobili, Vanessa Scalera, Giovanna Mori, Patrizia Bettini, Silvia Ferretti, Corinne Castelli","The story of Mussolini's secret lover, Ida Dalser, and their son Albino.","6,9",5221,"$ 13000000","$ 619162","$ 5701481",85,32,120
"54787","tt1158936","Verso l'eden","Eden à l'Ouest","2009","2009-03-06","Drama",110,"France, Greece, Italy","French, German, Greek, English","Costa-Gavras","Costa-Gavras, Jean-Claude Grumberg","K.G. Productions","Riccardo Scamarcio, Odysseas Papaspiliopoulos, Léa Wiazemsky, Tess Spentzos, Kristen Ross, Stella-Melina Vasilaki, Gil Alma, Éric Caravaca, Marisha Triantafyllidou, Constantine Markoulakis, Mona Achache, Alexandre Bancel, Juliane Köhler, Igor Raspopov, Ina Tsolakis","A drama centered around the illegal immigrants living in the EU.","6,9",2379,"$ 12000000","","$ 2187716",NA,9,34
"55037","tt1179034","From Paris with Love","From Paris with Love","2010","2010-04-16","Action",92,"France","English, French, Mandarin, German","Pierre Morel","Adi Hasak, Luc Besson","EuropaCorp","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin, Amber Rose Revah, Eric Godon, François Bredon, Chems Dahmani, Sami Darr, Julien Hagnery, Mostéfa Stiti, Rebecca Dayan, Michaël Vander-Meiren, Didier Constant","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.","6,5",111044,"$ 52000000","$ 24077427","$ 52844496",42,247,206
"55041","tt1179067","Samyy luchshiy film","Samyy luchshiy film","2008","2008-01-24","Comedy",110,"Russia","Russian, French, German","Kirill Kuzin","Artak Gasparyan, Igor Kharlamov","Karoprokat","Igor Kharlamov, Mikhail Galustyan, Armen Dzhigarkhanyan, Elena Velikanova, Iosif Buyanovski, Pavel Volya, Valeriy Barinov, Dmitriy Nagiev, Anastasiya Kalmanovich, Pavel Kozmopulos, Sergey Kholmogorov, Seva Pichugin, Anna Nosatova, Karolina Kabakuala, Vladimir Turchinskiy","Vadik Volnov dies on his own wedding of cannabis overdose and has to prove to God that he is worthy to enter Heaven. During his conversation with God's secretary, Vadik recalls numerous memorable moments of his earthly existence.","3",2379,"$ 4500000","","$ 30525503",NA,1,5
"55174","tt1188729","Pandorum - L'universo parallelo","Pandorum","2009","2010-08-06","Action",108,"Germany, UK, USA","English, Vietnamese, German","Christian Alvart","Travis Milloy, Travis Milloy","Constantin Film","Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue, Cung Le, Eddie Rouse, Norman Reedus, André Hennicke, Friederike Kempter, Niels-Bruno Schmidt, Asia Luna Mohmand, Delphine Chuillot, Wotan Wilke Möhring, Julian Rappe, Domenico D'Ambrosio","Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.","6,7",141963,"$ 33000000","$ 10330853","$ 20648328",28,393,143
"55294","tt1196141","Diario di una schiappa","Diary of a Wimpy Kid","2010","2011-07-27","Comedy",120,"USA, UK","English, German","Thor Freudenthal","Jackie Filgo, Jeff Filgo","Color Force","Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn, Connor Fielding, Owen Fielding, Devon Bostick, Chloë Grace Moretz, Karan Brar, Grayson Russell, Laine MacNeil, Alex Ferris, Andrew McNee, Belita Moreno, Rob LaBelle","The adventures of a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.","6,2",41732,"$ 15000000","$ 64003625","$ 76196538",56,130,111
"55468","tt1211956","Escape Plan - Fuga dall'inferno","Escape Plan","2013","2013-10-17","Action",115,"USA","English, German, Arabic, Urdu","Mikael Håfström","Miles Chapman, Jason Keller","Summit Entertainment","Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir, Amy Ryan, Sam Neill, Vincent D'Onofrio, Vinnie Jones, Matt Gerald, 50 Cent, Caitriona Balfe, David Joseph Martinez, Alec Rayme, Christian Stokes, Graham Beckel","When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.","6,7",223688,"$ 50000000","$ 25135965","$ 137328301",49,339,304
"55479","tt1212419","Hereafter","Hereafter","2010","2011-01-05","Drama",129,"USA","English, French, German","Clint Eastwood","Peter Morgan","Warner Bros.","Cécile de France, Thierry Neuvic, Cyndi Mayo, Lisa Griffiths, Jessica Griffiths, Ferguson Reid, Derek Sakakura, Jay Mohr, Richard Kind, Matt Damon, Charlie Creed-Miles, Frankie McLaren, George McLaren, Lyndsey Marshal, Rebekah Staton","A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways.","6,4",89563,"$ 50000000","$ 32746941","$ 106956330",56,352,326
"55480","tt1212428","Civiltà perduta","The Lost City of Z","2016","2017-06-22","Biography",141,"USA","English, Portuguese, Tupi, Spanish, German","James Gray","James Gray, David Grann","Keep Your Head","Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland, Edward Ashley, Angus Macfadyen, Ian McDiarmid, Clive Francis, Pedro Coello, Matthew Sunderland, Johann Myers, Aleksandar Jovanovic, Elena Solovey, Bobby Smalldridge, Tom Mulheron","A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.","6,6",76112,"$ 30000000","$ 8580410","$ 19263938",78,254,284
"55664","tt1226753","Il debito","The Debt","2010","2011-09-16","Drama",113,"USA, UK, Hungary, Israel","English, German, Russian","John Madden","Matthew Vaughn, Jane Goldman","Miramax","Helen Mirren, Tom Wilkinson, Ciarán Hinds, Romi Aboulafia, Tomer Ben David, Ohev Ben David, Jonathan Uziel, Elana Kivity Davenport, Eli Zohar, Irén Bordán, Jessica Chastain, Marton Csokas, Sam Worthington, Jesper Christensen, Brigitte Kren","In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them.","6,8",63298,"$ 20000000","$ 31177548","$ 45636368",65,182,261
"55853","tt1235841","Medianeras - Innamorarsi a Buenos Aires","Medianeras","2011","2014-10-02","Comedy",95,"Argentina, Spain, Germany","Spanish, French, English, Italian, German","Gustavo Taretto","Gustavo Taretto","Eddie Saeta S.A.","Javier Drolas, Miguel Dedovich, Pilar López de Ayala, Miguel Alvarez, Alicia Mezza, Lucas Issi, Octavio Musaluppi, Jorge Lanata, Coqueta, Romina Paula, Alan Pauls, Inés Efron, Adrián Navarro, Carla Peterson, Rafael Ferro","Martín and Mariana are slightly damaged people who live in buildings just opposite one another. While they often don't notice each other, separation might be the very thing that brings them together.","7,5",13738,"$ 11000000","$ 2377","$ 1008116",60,26,71
"55993","tt1245678","The Torturer","The Torturer","2008","2008-10-15","Drama",86,"USA","English, German","Graham Green","Graham Green, Chris Pawling","Conspiracy Films","Nichelle Nichols, Mahsa Masoudi, Andrew W. Walker, Sophia Choi, Donnie L. Betts, Ali Jackson, Paul Keables, Dave Ballantine, Laura Grey","A military interrogator returns from Iraq with Acute Post-Traumatic Stress Disorder.","4,5",243,"$ 1500000","","",NA,6,7
"56284","tt1270798","X-Men - L'inizio","X: First Class","2011","2011-06-08","Action",131,"USA, UK","English, German, French, Spanish, Russian","Matthew Vaughn","Ashley Miller, Zack Stentz","Twentieth Century Fox","James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner, Kevin Bacon, Rose Byrne, Jennifer Lawrence, Beth Goddard, Morgan Lily, Oliver Platt, Álex González, Jason Flemyng, Zoë Kravitz, January Jones, Nicholas Hoult","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","7,7",636920,"$ 160000000","$ 146408305","$ 352616690",65,774,529
"56457","tt1285241","Don 2","Don 2","2011","2011-12-23","Action",148,"India, Germany","Hindi, English, German","Farhan Akhtar","Farhan Akhtar, Farhan Akhtar","Excel Entertainment","Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor, Om Puri, Nawab Shah, Alyy Khan, Sahil Shroff, Florian Lukas, Leonard Benhaus, Hrithik Roshan, Andreas Adam, Marco Ammer, Günter Barton","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","7,1",48609,"$ 16700000","$ 3680306","$ 6913518",49,199,57
"56523","tt1289396","En tu ausencia","En tu ausencia","2008","2008-10-07","Drama",95,"Canada, Spain","Spanish, English, French, German","Iván Noel","Iván Noel","Noel Films","Francisco Alfonsin, Pedro Salido Saborido, Gonzalo Sánchez Salas, Anabel Azuar, Ana Tutor, Antonio J. Atienza Sánchez, Acensio Salas Suárez, Juanjo Galiardo, Luis Vargas Gómez, Luis Valle Romero, Tomás Benitez Soto, Irene Rodriguez Ripoll, Cristina González Benítez, Erico Ramos Fernández, Paola Pablo Nogales Doña","A fatherless boy whose fixation on a mysterious stranger leads him blindly into a tragedy that is to mark him for life.","6,9",819,"$ 50000","","",NA,9,9
"56655","tt1298644","Attenti a quelle due","The Hustle","2019","2019-05-16","Comedy",93,"USA","English, German, Dutch, Danish, French, American Sign Language","Chris Addison","Stanley Shapiro, Paul Henning","Metro-Goldwyn-Mayer (MGM)","Timothy Simons, Rebel Wilson, Douggie McMeekin, Ashley McGuire, Casper Christensen, Eloise Lovell Anderson, Philip Desmeules, Ingrid Oliver, Jarreau Antoine, Anne Hathaway, Nicholas Woodeson, Celine Abrahams, Raffaello Degruttola, Alex Gaumond, Guy Warren-Thomas","Two con women - one low rent and the other high class - team up to take down the men who have wronged them.","5,4",43949,"$ 21000000","$ 35417038","$ 95055451",35,605,142
"56681","tt1302006","The Irishman","The Irishman","2019","2019-11-27","Biography",209,"USA","English, Italian, Latin, Spanish, German","Martin Scorsese","Steven Zaillian, Charles Brandt","Tribeca Productions","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jack Huston, Kathrine Narducci, Jesse Plemons, Domenick Lombardozzi, Paul Herman, Gary Basaraba","An old man recalls his time painting houses for his friend,","7,9",304528,"$ 159000000","","$ 968853",94,2705,438
"56707","tt1305039","Last Letters from Monte Rosa","Last Letters from Monte Rosa","2010","2010-08-06","Action",88,"USA","Italian, German","Ari Taub","Caio Ribeiro","Hit & Run Productions","Daniel Asher, C.J. Barkus, Gianluca Bianco, Davide Borella, Hans-Dieter Brückner, Achim Buchner, Michael Castignetti, Rick Cavallaro, Dave Clauss, Pierluigi Corallo, Dan Costantini, Nick Day, Walter DeForest, Othmar Dickbauer, Emanuele Fortunati","Set in Northern Italy during the last embers of the war, the beleaguered vanguard of Axis forces suffer daily bombings and the constant threat of attack from local partisans. Tempers begin ...","5,6",114,"$ 300000","","",NA,12,13
"57247","tt1347280","Pendragon: Sword of His Father","Pendragon: Sword of His Father","2008","2008-11-01","Adventure",122,"USA","English, German","Chad Burns","","Burns Family Studios","Aaron Burns, Marilyn Mooney, Chad Burns, Cary Annen, Drew Annen, Nathan Ashton, Adrianne Burns, Andrew Burns, Nicholas Burns, Raymond Burns, Erik Dewar, Brian Ervin, Wally Patton, Tim Quinlan, Daniel Ross","Set in 411 AD, Pendragon tells the story of young Artos who is raised to believe that God has a purpose for each day. When his family is killed and he is taken into slavery by the Saxons, ...","3,9",303,"$ 88000","","",NA,10,7
"57252","tt1348318","Protektor","Protektor","2009","2009-09-24","Drama",98,"Czech Republic, Germany","Czech, German","Marek Najbrt","Robert Geisler, Benjamin Tucek","Negativ","Matthias Brandt, Jan Budar, David Czesany, Marek Daniel, Cyril Drozda, Ludmila Hroudová, Pavel Kryl, Tomás Mechácek, Klára Melísková, Martin Mysicka, Václav Neuzil, Leos Noha, Sandra Nováková, Jirí Ornest, Jana Plodková","A Czech journalist joins a Prague radio station that broadcasts Nazi propaganda in order to protect his Jewish wife. However, as the Nazi rule over Czechoslovakia calls for more and more ...","7,1",814,"$ 3000000","$ 2968","$ 473528",49,9,28
"57344","tt1361828","Max Schmeling","Max Schmeling","2010","2010-10-07","Biography",123,"Germany, Croatia","German","Uwe Boll","Timo Berndt","Boll Kino Beteiligungs GmbH & Co. KG","Henry Maske, Heino Ferch, Susanne Wuest, Vladimir Weigl, Arved Birnbaum, Christian Kahrmann, Elliot Cowan, Yoan Pablo Hernández, Klaus Schindler, Enad Licina, Manfred Wolke, Arthur Abraham, Ulli Wegner, Michael Becker, Andreas Franke","Max Schmeling's fights against Joe Louis are listed in the best 10 ten fights of all times.","4,7",1046,"$ 3000000","","$ 96456",NA,12,24
"57719","tt1401152","Unknown - Senza identità","Unknown","2011","2011-02-28","Action",113,"UK, Germany, France, USA","English, German, Turkish, Arabic","Jaume Collet-Serra","Oliver Butcher, Stephen Cornwell","Dark Castle Entertainment","Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock, Mido Hamada, Clint Dyer, Karl Markovics, Eva Löbau, Helen Wiebensohn","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.","6,8",244812,"$ 30000000","$ 63686397","$ 135710029",56,388,362
"57853","tt1414382","Ancora tu!","You Again","2010","2011-07-08","Comedy",105,"USA","English, French, German, Spanish, Hawaiian, Japanese, Italian, Hebrew","Andy Fickman","Moe Jelline","Touchstone Pictures","Kristen Bell, Jamie Lee Curtis, Sigourney Weaver, Odette Annable, Victor Garber, Betty White, James Wolk, Kristin Chenoweth, Sean Wing, Kyle Bornheimer, William Brent, Christine Lakin, Meagan Holder, Patrick Duffy, Anna A. White","When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors.","5,8",48742,"$ 20000000","$ 25702053","$ 32054369",28,364,91
"58239","tt1450321","Filth","Filth","2013","2013-10-04","Comedy",97,"UK, Germany, Sweden, Belgium, USA","English, German, Scots","Jon S. Baird","Jon S. Baird, Irvine Welsh","Steel Mill Pictures","James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots, Brian McCardie, Emun Elliott, Gary Lewis, John Sessions, Shauna Macdonald, Jim Broadbent, Joanne Froggatt, Kate Dickie, Martin Compston, Iain De Caestecker, Shirley Henderson","A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own inner demons.","7,1",99455,"$ 5000000","$ 34411","$ 8417248",56,160,270
"58891","tt1515091","Sherlock Holmes - Gioco di ombre","Sherlock Holmes: A Game of Shadows","2011","2011-12-16","Action",129,"USA, UK","English, French, Italian, German, Romany","Guy Ritchie","Michele Mulroney, Kieran Mulroney","Warner Bros.","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams, Jared Harris, Stephen Fry, Paul Anderson, Kelly Reilly, Geraldine James, Eddie Marsan, William Houston, Wolf Kahler, Iain Mitchell, Jack Laskey, Patricia Slater","Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.","7,5",413820,"$ 125000000","$ 186848418","$ 543848418",48,448,250
"59099","tt1529559","Hotel Lux","Hotel Lux","2011","2011-10-27","Comedy",102,"Germany, Liechtenstein, France","German, Russian, English","Leander Haußmann","Leander Haußmann, Uwe Timm","Bavaria Pictures","Michael Herbig, Jürgen Vogel, Thekla Reuten, Valeriy Grishko, Alexander Senderovich, Juraj Kukura, Thomas Thieme, Gennadi Vengerov, Josef Ostendorf, Sebastian Blomberg, Sibylle Canonica, Axel Wandtke, Steffi Kühnert, Robert Dölle, Daniel Wiemer","In 1938 Hans Zeisig, an apolitical comedian, impersonator and cabaret actor, flees with a Russian passport (instead of American, which he would have preferred) from Nazi-Berlin, and finds ...","6",1123,"$ 11000000","","$ 1643414",NA,3,26
